1031189051628507137,Sun Aug 19 14:40:03 +0000 2018,@Revolt272 @gopikamisra @krameshmenon @jasuja It's like congress asking the proof of 'Surgical strike.Same way people want Indian army pics in kerala.Very unfortunate.
1031189056611336192,Sun Aug 19 14:40:04 +0000 2018,This is an epic riposte to a foolish comment by @sgurumurthy on an imaginary linkage between the case in SC re a fanous Temple in #kerala and the #KeralaFloods.
1031189068707758080,Sun Aug 19 14:40:07 +0000 2018,"@ippatel Sir! I believe you are Hurt with the subject of Cow Slaughter. 

Sir, What about Goa &amp; North East? Are you praying for Natural disasters there as well. 

What about BJPians who export beef? You Praying for BJP to get destroyed in 2019?
#KeralaReliefFund #KeralaFloods #Meem4Kerala https://t.co/uiK0i6SFc3"
1031189061929771008,Sun Aug 19 14:40:05 +0000 2018,"@WriterRavikumar @mekalapugazh I dont think even Kerala govt was that prepared to face this nature's fury,  nor it's been questioned, why so much people were left to die, and why they were not saved and moved to save places much earlier??"
1031189077817622528,Sun Aug 19 14:40:09 +0000 2018,#KeralaFloods : The sight at Chalakudy was heart wrenching... people calling out for help. Many  including us standing on the other side of the bridge...  @CNNnews18
1031189083513602048,Sun Aug 19 14:40:10 +0000 2018,https://t.co/3K2OJ2rEbg #Ye_Kaisi_Aazadi #YekaisiAazadi #KoiKasarNah #KeralaSOS #KeralaReliefFund #WorldPhotographyDay #BajrangPunia #AsianGames https://t.co/5gIQMJAU7x
1031189090413305856,Sun Aug 19 14:40:12 +0000 2018,Chamchi....Murde  ke saath sab  ko paidal hi chalna padta hai. Pahli baar  yeh  dekha keya? Tera koi marega fir  dekh Lena.
1031189093936291841,Sun Aug 19 14:40:13 +0000 2018,"Vella @republic and @TimesNow abusing Sidhu.
Just get lost.
They even dropped Kerala reports to rant on Sidhu at Pakistan.
What about your BJP mantris landing up at bin bulaaye baraati at Nawaz Sharif's household?"
1031189100080971776,Sun Aug 19 14:40:14 +0000 2018,One gold medal and nation is rejoicing.  Power of sporting glory.  Balm for trauma and pain being suffered in Kerala.  God be kind.  #BajrangPunia
1031189109824528384,Sun Aug 19 14:40:17 +0000 2018,We're actually crawling in the mere infancy of that stage of evolution where we learn and tend to respect the women folk. We just pretend big.
1031189121790668803,Sun Aug 19 14:40:19 +0000 2018,"Hi @POTUS, Kerala needs International attention. Conditions are getting worse and we need tactical support from elite teams all over the world. (Help) RT until this reaches across the world. #KeralaNeedsHelp #KeralaFloods #KeralaSOS 
 
 Donate here- https://t.co/swD0mgoZRG"
1031189122537410560,Sun Aug 19 14:40:20 +0000 2018,Rush to bring aid to 2 million homeless as fears grow over spread of disease after floods in Kerala  https://t.co/nWnKimmyJi https://t.co/hjxyx7fHBe
1031189126807085056,Sun Aug 19 14:40:21 +0000 2018,@CMOKerala Rise above hate .we love south indians but south people think we hate them ..leftist and congressi leaders have created huge distance among south and north people .god bless my kerala
1031189127440388096,Sun Aug 19 14:40:21 +0000 2018,"Kerala has declared the central government to be a natural disaster .

Clearly the 500 crore released by the central government will not do much help .

#KeralaFloods #Kerala"
1031189127197220864,Sun Aug 19 14:40:21 +0000 2018,"HeyVijay @TheDeverakonda,I already watched #geethagovindam first day first show here in Bangalore.Again planned to watched today.But the same amount I donated to the victim's of keralafloods. It's a small amount but it may help to someone.Proud to be a fan of you @TheDeverakonda https://t.co/3899Zy0hhs"
1031189135896113153,Sun Aug 19 14:40:23 +0000 2018,"#KeralaReliefFund Given the devastating effect of the flood in Kerala , it is time now for the government to release more fund if it can not declare it a national disaster for now. We citizen should also contribute generously."
1031189138228297729,Sun Aug 19 14:40:23 +0000 2018,"Good 1 @sudarsansand

Really our Indians always join hands when come nature.

Please continue the same always we will rock the world

#ChennaiFloods now #KeralaFloods"
1031189142024024064,Sun Aug 19 14:40:24 +0000 2018,"@Chandrapida1 @cosmicblinker #KeralaReliefFund  Christians in Pallippad region of flood affected Alappuzha district   objected t accommodate Dalit families in their relief camp. Authorities   
promptly obliged t their demand &amp; shifting families t another   relief camp @fayedsouza https://t.co/MnB8dHLlyy"
1031189144750280705,Sun Aug 19 14:40:25 +0000 2018,"Sir, dena bahoot kuchh chaahte h, par congress v vaampanthiyon dwara Sare aam kaati gai ""Gay"" wala manjar hamaare dil mae shool ki tarah chubha hua h"
1031189163255578624,Sun Aug 19 14:40:29 +0000 2018,"Friends we retweeting all posts
Kindly retweet this so that this reaches all so that we can help..
Kindly contribute.."
1031189166938353665,Sun Aug 19 14:40:30 +0000 2018,2344.84 mm rain from june 1st 2018 to so far!! Am sure none of the sanghi's states will survive this! Still sanghi's mocking us!! This is kerala together we stand in crisis.  UNiTY it is as simple as that!! Proud to be a Keralite. #KeralaFlood
1031189179722604544,Sun Aug 19 14:40:33 +0000 2018,"#105RAF evacuated tourists and tribals stuck due to flood and landslide in Nelliyampathi, Kerala. Highly skilled rescue teams made best use of the things available around them and save precious lives. 
#RapidActionForce 
#FightingFloods"
1031189186135486464,Sun Aug 19 14:40:35 +0000 2018,Kerala floods: The Naval air base in Kochi is ready for commercial flights to begin operation from tomorrow. Naval Air Station INS Garuda has received clearance to operate passenger planes.
1031189189973495808,Sun Aug 19 14:40:36 +0000 2018,"@DtPiyu You have been doing a commendable job Selflessly 
You have made Kerala Proud with your tireless commitment to help the stranded victim's"
1031189193353875457,Sun Aug 19 14:40:36 +0000 2018,"I think @IndianExpress missed Paytm contributions of citizens..

But this is a good list.

Kerala floods: This is how much state has received as donation so far  https://t.co/dkI4LpK7dA"
1031189205718712320,Sun Aug 19 14:40:39 +0000 2018,@MaliniP Nation is under grief due to demise of former PM Atalji &amp; observing 1 week morning &amp; Kerala under unprecedented monsoon havoc. How can Cong which is repeatedly asking centre to declare it as a national disaster allow one of its ministers to attend this ceremony.
1031189212509261824,Sun Aug 19 14:40:41 +0000 2018,Every drop of water is very precious .. Seva Bharati organisation has come to the rescue of flood-affected people #KeralaFlood #KeralaFloodRelief #KeralaFloodRescue https://t.co/DsCkIocAT8
1031189219568492545,Sun Aug 19 14:40:43 +0000 2018,"Here is free accurate personality test please try...

https://t.co/tNLEgm9VGf

#BajrangPunia #KeralaReliefFund #MCIHUD
#5DaysToGoForMTM #Kaththi"
1031189222667866114,Sun Aug 19 14:40:43 +0000 2018,"Hey @CaseyNeistat, the state of Kerala in India is badly affected by floods Ref: https://t.co/SiwZenp0cz

It would be be great if you could mention it in your vlog for donations. The state is known as God's own country and need help from people like you.

https://t.co/r4kdKy38OD"
1031189228401512449,Sun Aug 19 14:40:45 +0000 2018,(Kerala floods : Red alert removed from all districts; rescue picks up pace) The Indian Wire - https://t.co/AbcdSGBBdC https://t.co/IIAe9zZlS9
1031189235079041024,Sun Aug 19 14:40:46 +0000 2018,"After UAE now Qatar extends helping hand to Kerala flood victims with Rs 35 crore financial aid.
#KeralaReliefFund  
#KeralaFloods 
https://t.co/jkYqpQXNXu"
1031189238031818753,Sun Aug 19 14:40:47 +0000 2018,@BrutuTweets A camp managed by North Indians based in Kerala. #KeralaFloods #KeralaFloodRelief #KeralaSOS #Kerala #KeralaReliefFund https://t.co/CxiEecbM30
1031189243694067713,Sun Aug 19 14:40:48 +0000 2018,"Do share a screenshot of your donation before you criticize the PM @narendramodi on this humanitarian crisis!

#KeralaFloods #KeralaFloodRelief"
1031189246055514112,Sun Aug 19 14:40:49 +0000 2018,"#105RAF personnel helping flood victims living in various rescue camps. Fresh fruits, food items and medicines provided to people living in makeshift camps in different Taluks of flood ravaged Palakkadu district of Kerala.
#RapidActionForce 
#FightingFloods"
1031189247095529472,Sun Aug 19 14:40:49 +0000 2018,Looking  for some good words from you regarding rss somewhere draw your line that you will be honest in your views don't fall for crumbs thrown at you by anti India forces all the times
1031189275423985664,Sun Aug 19 14:40:56 +0000 2018,"@LipuBhol @Garylove143 @abasitpak1 @DefenceMinIndia @PMOIndia In any case, our prayers are with ppl of Kerala. Hope u overcome this national crises soon.
 
#HumanityComesFirst"
1031189304758886400,Sun Aug 19 14:41:03 +0000 2018,Hassle free 5Kg #Indane LPG cylinders are available in all Ernakulam city #IndianOil petrol pumps. Keep the fire burning amidst #KeralaFloods @IndianOilcl @dpradhanbjp @AshutoshJindalS @PetroleumMin @PSMIOC @ChairmanIOCL @gurmeet_singh61 https://t.co/YWmcF3ctcl
1031189308667883520,Sun Aug 19 14:41:04 +0000 2018,This video requires no words to describe it.. Hats off to all the people who are helping people of kerla to stand firm against this calamity.. #StandWithKerala #Thistoshallpasson #maytheforcebewithyou https://t.co/1wyFaDtK35
